Size,VCs,Traffic,InjectionRate,AvgLatency,MaxLatency
2x2,1,uniform,0.1,15.7251,0.105481
2x2,1,transpose,0.1,19.4228,0.105079
2x2,1,uniform,0.2,17.5628,0.207807
2x2,1,transpose,0.2,20.4944,0.207168
2x2,1,uniform,0.3,45.6598,0.306926
2x2,1,transpose,0.3,27.7729,0.30648
2x2,1,uniform,0.4,539.654,0.348
2x2,1,transpose,0.4,608.114,0.334
2x2,1,uniform,0.5,932.986,0.346
2x2,1,transpose,0.5,856.778,0.334
2x2,1,uniform,0.6,489.177,0.3215
2x2,1,transpose,0.6,445.447,0.332
2x2,1,uniform,0.7,555.612,0.323
2x2,1,transpose,0.7,527.859,0.3325
2x2,1,uniform,0.8,629.098,0.321
2x2,1,transpose,0.8,596.572,0.3325
2x2,1,uniform,0.9,674.03,0.3205
2x2,1,transpose,0.9,648.905,0.3325
2x2,1,uniform,1.0,700.506,0.3215
2x2,1,transpose,1.0,679,0.3325
2x2,2,uniform,0.1,15.1012,0.105402
2x2,2,transpose,0.1,19.0764,0.105155
2x2,2,uniform,0.2,15.2556,0.207797
2x2,2,transpose,0.2,19.2324,0.207256
2x2,2,uniform,0.3,15.5006,0.310303
2x2,2,transpose,0.3,19.5258,0.30793
2x2,2,uniform,0.4,15.9169,0.411307
2x2,2,transpose,0.4,20.0467,0.409036
2x2,2,uniform,0.5,16.8134,0.513394
2x2,2,transpose,0.5,20.948,0.509514
2x2,2,uniform,0.6,21.8836,0.612357
2x2,2,transpose,0.6,23.1262,0.608871
2x2,2,uniform,0.7,507.203,0.63775
2x2,2,transpose,0.7,351.546,0.666712
2x2,2,uniform,0.8,540.092,0.657
2x2,2,transpose,0.8,612.308,0.667
2x2,2,uniform,0.9,751.898,0.657
2x2,2,transpose,0.9,669.129,0.667
2x2,2,uniform,1.0,923.951,0.656
2x2,2,transpose,1.0,847,0.667
2x2,3,uniform,0.1,15.084,0.105539
2x2,3,transpose,0.1,19.0096,0.10511
2x2,3,uniform,0.2,15.1846,0.207863
2x2,3,transpose,0.2,19.0315,0.206973
2x2,3,uniform,0.3,15.3313,0.310042
2x2,3,transpose,0.3,19.0856,0.307824
2x2,3,uniform,0.4,15.5428,0.411942
2x2,3,transpose,0.4,19.207,0.40864
2x2,3,uniform,0.5,15.8741,0.513093
2x2,3,transpose,0.5,19.4603,0.508803
2x2,3,uniform,0.6,16.5025,0.614345
2x2,3,transpose,0.6,19.9675,0.608814
2x2,3,uniform,0.7,18.0144,0.715462
2x2,3,transpose,0.7,20.8299,0.708323
2x2,3,uniform,0.8,25.6656,0.813889
2x2,3,transpose,0.8,22.3821,0.807245
2x2,3,uniform,0.9,473.759,0.85
2x2,3,transpose,0.9,27.0886,0.904551
2x2,3,uniform,1.0,592.169,0.857
2x2,3,transpose,1.0,23,1
4x4,1,uniform,0.1,29.7515,0.110209
4x4,1,transpose,0.1,42.7902,0.108286
4x4,1,uniform,0.2,270.274,0.200333
4x4,1,transpose,0.2,955.708,0.214
4x4,1,uniform,0.3,-nan,0
4x4,1,transpose,0.3,588.181,0.3115
4x4,1,uniform,0.4,342.179,0.128
4x4,1,transpose,0.4,698.227,0.3325
4x4,1,uniform,0.5,417.267,0.1325
4x4,1,transpose,0.5,760.705,0.3325
4x4,1,uniform,0.6,449.752,0.133
4x4,1,transpose,0.6,410.262,0.331
4x4,1,uniform,0.7,505.76,0.138
4x4,1,transpose,0.7,424.071,0.331
4x4,1,uniform,0.8,394.993,0.201
4x4,1,transpose,0.8,437.247,0.331
4x4,1,uniform,0.9,409.983,0.2
4x4,1,transpose,0.9,446.913,0.331
4x4,1,uniform,1.0,416.322,0.201
4x4,1,transpose,1.0,452.209,0.331
4x4,2,uniform,0.1,26.8327,0.11012
4x4,2,transpose,0.1,31.9638,0.109514
4x4,2,uniform,0.2,28.3863,0.214668
4x4,2,transpose,0.2,39.1053,0.212206
4x4,2,uniform,0.3,33.9425,0.317544
4x4,2,transpose,0.3,586.581,0.318
4x4,2,uniform,0.4,516.914,0.35
4x4,2,transpose,0.4,952.835,0.415
4x4,2,uniform,0.5,549.516,0.073
4x4,2,transpose,0.5,520.257,0.5165
4x4,2,uniform,0.6,269.894,0.2735
4x4,2,transpose,0.6,599.727,0.612
4x4,2,uniform,0.7,331.152,0.2825
4x4,2,transpose,0.7,661.223,0.664
4x4,2,uniform,0.8,401.817,0.2905
4x4,2,transpose,0.8,707.369,0.6645
4x4,2,uniform,0.9,431.988,0.284
4x4,2,transpose,0.9,741.935,0.6645
4x4,2,uniform,1.0,459.962,0.2795
4x4,2,transpose,1.0,767.76,0.6645
4x4,3,uniform,0.1,26.6845,0.110139
4x4,3,transpose,0.1,31.6247,0.109437
4x4,3,uniform,0.2,27.6417,0.214484
4x4,3,transpose,0.2,33.4798,0.213091
4x4,3,uniform,0.3,29.7712,0.317519
4x4,3,transpose,0.3,42.6815,0.314203
4x4,3,uniform,0.4,41.2809,0.418466
4x4,3,transpose,0.4,562.374,0.4155
4x4,3,uniform,0.5,514.21,0.47825
4x4,3,transpose,0.5,798.959,0.516
4x4,3,uniform,0.6,591.142,0.34
4x4,3,transpose,0.6,516.503,0.6135
4x4,3,uniform,0.7,799.955,0.087
4x4,3,transpose,0.7,599.585,0.7155
4x4,3,uniform,0.8,952.141,0.068
4x4,3,transpose,0.8,632.041,0.8065
4x4,3,uniform,0.9,493.644,0.46
4x4,3,transpose,0.9,708.09,0.904
4x4,3,uniform,1.0,541.24,0.4505
4x4,3,transpose,1.0,743.783,0.9965
8x8,1,uniform,0.1,556.248,0.095
8x8,1,transpose,0.1,474.74,0.102
8x8,1,uniform,0.2,209.869,0.04
8x8,1,transpose,0.2,537.255,0.2065
8x8,1,uniform,0.3,180.132,0.0285
8x8,1,transpose,0.3,650.463,0.318
8x8,1,uniform,0.4,204.334,0.058
8x8,1,transpose,0.4,387.156,0.331
8x8,1,uniform,0.5,226.456,0.056
8x8,1,transpose,0.5,417.882,0.331
8x8,1,uniform,0.6,245.73,0.056
8x8,1,transpose,0.6,434.849,0.331
8x8,1,uniform,0.7,254.163,0.055
8x8,1,transpose,0.7,447.196,0.331
8x8,1,uniform,0.8,265.657,0.057
8x8,1,transpose,0.8,457.167,0.331
8x8,1,uniform,0.9,263.797,0.056
8x8,1,transpose,0.9,464.612,0.331
8x8,1,uniform,1.0,272.802,0.055
8x8,1,transpose,1.0,470.833,0.331
8x8,2,uniform,0.1,54.7892,0.113833
8x8,2,transpose,0.1,400.509,0.105609
8x8,2,uniform,0.2,576.865,0.1825
8x8,2,transpose,0.2,486.142,0.2095
8x8,2,uniform,0.3,303.059,0.121
8x8,2,transpose,0.3,516.561,0.3175
8x8,2,uniform,0.4,211.479,0.0775
8x8,2,transpose,0.4,545.697,0.4195
8x8,2,uniform,0.5,168.679,0.0565
8x8,2,transpose,0.5,603.032,0.513
8x8,2,uniform,0.6,169.301,0.0515
8x8,2,transpose,0.6,663.661,0.61
8x8,2,uniform,0.7,188.189,0.109
8x8,2,transpose,0.7,375.523,0.662
8x8,2,uniform,0.8,208.258,0.11
8x8,2,transpose,0.8,394.986,0.662
8x8,2,uniform,0.9,214.041,0.105
8x8,2,transpose,0.9,409.528,0.662
8x8,2,uniform,1.0,223.896,0.103
8x8,2,transpose,1.0,421.722,0.662
8x8,3,uniform,0.1,52.7514,0.113715
8x8,3,transpose,0.1,60.7403,0.112984
8x8,3,uniform,0.2,113.049,0.216306
8x8,3,transpose,0.2,673.204,0.22
8x8,3,uniform,0.3,737.428,0.24
8x8,3,transpose,0.3,427.462,0.319
8x8,3,uniform,0.4,311.83,0.1515
8x8,3,transpose,0.4,432.725,0.4085
8x8,3,uniform,0.5,222.241,0.093
8x8,3,transpose,0.5,501.321,0.5145
8x8,3,uniform,0.6,210.421,0.084
8x8,3,transpose,0.6,601.694,0.6145
8x8,3,uniform,0.7,242.433,0.0795
8x8,3,transpose,0.7,671.784,0.7185
8x8,3,uniform,0.8,265.546,0.0785
8x8,3,transpose,0.8,711.908,0.805
8x8,3,uniform,0.9,283.342,0.0805
8x8,3,transpose,0.9,393.151,0.914
8x8,3,uniform,1.0,297.525,0.156
8x8,3,transpose,1.0,407.716,0.993
