Size,VCs,Traffic,InjectionRate,AvgLatency,MaxLatency
2x2,1,uniform,0.1,40.8707,0.104104
2x2,1,transpose,0.1,54.3837,0.103597
2x2,1,uniform,0.2,1003.15,0.125
2x2,1,transpose,0.2,1030.86,0.167
2x2,1,uniform,0.3,628.039,0.125
2x2,1,transpose,0.3,627.018,0.166
2x2,1,uniform,0.4,726.764,0.1265
2x2,1,transpose,0.4,744.523,0.166
2x2,1,uniform,0.5,775.847,0.128
2x2,1,transpose,0.5,792.525,0.166
2x2,1,uniform,0.6,812.846,0.125
2x2,1,transpose,0.6,830.308,0.166
2x2,1,uniform,0.7,842.425,0.1245
2x2,1,transpose,0.7,844.955,0.1665
2x2,1,uniform,0.8,874.851,0.1265
2x2,1,transpose,0.8,867.973,0.1665
2x2,1,uniform,0.9,893.713,0.1265
2x2,1,transpose,0.9,888.649,0.1665
2x2,1,uniform,1.0,904.647,0.1265
2x2,1,transpose,1.0,899,0.1665
4x4,1,uniform,0.1,42.7059,0.006
4x4,1,transpose,0.1,575.239,0.101
4x4,1,uniform,0.2,71.4848,0.004
4x4,1,transpose,0.2,805.408,0.166
4x4,1,uniform,0.3,34.6316,0.003
4x4,1,transpose,0.3,867.879,0.1665
4x4,1,uniform,0.4,53.2162,0.006
4x4,1,transpose,0.4,904.945,0.1665
4x4,1,uniform,0.5,30.6296,0.005
4x4,1,transpose,0.5,470.104,0.166
4x4,1,uniform,0.6,54.3158,0.007
4x4,1,transpose,0.6,474.443,0.166
4x4,1,uniform,0.7,47.0968,0.005
4x4,1,transpose,0.7,481.606,0.166
4x4,1,uniform,0.8,85.0727,0.008
4x4,1,transpose,0.8,484.353,0.166
4x4,1,uniform,0.9,33.0909,0.004
4x4,1,transpose,0.9,486.262,0.166
4x4,1,uniform,1.0,34.55,0.005
4x4,1,transpose,1.0,488.25,0.166
8x8,1,uniform,0.1,41.9459,0.003
8x8,1,transpose,0.1,646.148,0.105
8x8,1,uniform,0.2,45.7742,0.003
8x8,1,transpose,0.2,430.313,0.166
8x8,1,uniform,0.3,37.1,0.002
8x8,1,transpose,0.3,455.956,0.166
8x8,1,uniform,0.4,42.2353,0.003
8x8,1,transpose,0.4,476.201,0.166
8x8,1,uniform,0.5,42.3611,0.003
8x8,1,transpose,0.5,485.707,0.166
8x8,1,uniform,0.6,49.8182,0.003
8x8,1,transpose,0.6,490.722,0.166
8x8,1,uniform,0.7,57.05,0.005
8x8,1,transpose,0.7,495.337,0.166
8x8,1,uniform,0.8,46.7436,0.003
8x8,1,transpose,0.8,497.846,0.166
8x8,1,uniform,0.9,46.2941,0.003
8x8,1,transpose,0.9,500.95,0.166
8x8,1,uniform,1.0,43.6333,0.002
8x8,1,transpose,1.0,504.443,0.166
